zipcode,day,positive,total,zcta_cum_perc_pos,neighborhood_name,borough_group,covid_case_rate,pop_denominator,covid_death_count,covid_death_rate,percent_positive,newcases
11412,2020-05-03,1119,2190,51.1,Jamaica,Queens,NA,NA,NA,NA,NA,14
11413,2020-05-03,1151,2323,49.55,Southeast Queens,Queens,NA,NA,NA,NA,NA,8
11414,2020-05-03,722,1472,49.05,Southwest Queens,Queens,NA,NA,NA,NA,NA,9
11415,2020-05-03,449,994,45.17,Southwest Queens,Queens,NA,NA,NA,NA,NA,10
11416,2020-05-03,595,1140,52.19,Southwest Queens,Queens,NA,NA,NA,NA,NA,20
11417,2020-05-03,766,1561,49.07,Southwest Queens,Queens,NA,NA,NA,NA,NA,10
11418,2020-05-03,909,1925,47.22,Southwest Queens,Queens,NA,NA,NA,NA,NA,14
11419,2020-05-03,995,2001,49.73,Southwest Queens,Queens,NA,NA,NA,NA,NA,15
11420,2020-05-03,1179,2409,48.94,Southwest Queens,Queens,NA,NA,NA,NA,NA,18
11421,2020-05-03,1013,2038,49.71,Southwest Queens,Queens,NA,NA,NA,NA,NA,16
11422,2020-05-03,850,1790,47.49,Southeast Queens,Queens,NA,NA,NA,NA,NA,8
11423,2020-05-03,879,1716,51.22,Jamaica,Queens,NA,NA,NA,NA,NA,8
11426,2020-05-03,453,967,46.85,Southeast Queens,Queens,NA,NA,NA,NA,NA,3
11427,2020-05-03,687,1373,50.04,Southeast Queens,Queens,NA,NA,NA,NA,NA,7
11428,2020-05-03,595,1113,53.46,Southeast Queens,Queens,NA,NA,NA,NA,NA,4
11429,2020-05-03,831,1518,54.74,Southeast Queens,Queens,NA,NA,NA,NA,NA,10
11432,2020-05-03,1496,2902,51.55,Jamaica,Queens,NA,NA,NA,NA,NA,13
11433,2020-05-03,812,1667,48.71,Jamaica,Queens,NA,NA,NA,NA,NA,8
11434,2020-05-03,1715,3457,49.61,Jamaica,Queens,NA,NA,NA,NA,NA,15
11435,2020-05-03,1381,2894,47.72,Jamaica,Queens,NA,NA,NA,NA,NA,19
11436,2020-05-03,455,957,47.54,Jamaica,Queens,NA,NA,NA,NA,NA,1
11691,2020-05-03,1923,3598,53.45,Rockaway,Queens,NA,NA,NA,NA,NA,15
11692,2020-05-03,496,1011,49.06,Rockaway,Queens,NA,NA,NA,NA,NA,6
11693,2020-05-03,293,624,46.96,Rockaway,Queens,NA,NA,NA,NA,NA,4
11694,2020-05-03,614,1318,46.59,Rockaway,Queens,NA,NA,NA,NA,NA,5
11697,2020-05-03,85,203,41.87,Rockaway,Queens,NA,NA,NA,NA,NA,2
10001,2020-05-04,311,878,35.42,Chelsea - Clinton,Manhattan,NA,NA,NA,NA,NA,2
10002,2020-05-04,878,2069,42.44,Union Square - Lower East Side,Manhattan,NA,NA,NA,NA,NA,8
10003,2020-05-04,399,1251,31.89,Union Square - Lower East Side,Manhattan,NA,NA,NA,NA,NA,3
10004,2020-05-04,28,87,32.18,Lower Manhattan,Manhattan,NA,NA,NA,NA,NA,1
10005,2020-05-04,54,214,25.23,Lower Manhattan,Manhattan,NA,NA,NA,NA,NA,0
10006,2020-05-04,21,92,22.83,Lower Manhattan,Manhattan,NA,NA,NA,NA,NA,0
10007,2020-05-04,49,205,23.9,Lower Manhattan,Manhattan,NA,NA,NA,NA,NA,0
10009,2020-05-04,610,1767,34.52,Union Square - Lower East Side,Manhattan,NA,NA,NA,NA,NA,3
10010,2020-05-04,234,915,25.57,Gramercy Park - Murray Hill,Manhattan,NA,NA,NA,NA,NA,-1
10011,2020-05-04,463,1315,35.21,Chelsea - Clinton,Manhattan,NA,NA,NA,NA,NA,3
10012,2020-05-04,145,496,29.23,Greenwich Village - Soho,Manhattan,NA,NA,NA,NA,NA,3
10013,2020-05-04,217,696,31.18,Greenwich Village - Soho,Manhattan,NA,NA,NA,NA,NA,0
10014,2020-05-04,266,776,34.28,Greenwich Village - Soho,Manhattan,NA,NA,NA,NA,NA,1
10016,2020-05-04,605,1958,30.9,Gramercy Park - Murray Hill,Manhattan,NA,NA,NA,NA,NA,1
10017,2020-05-04,125,485,25.77,Gramercy Park - Murray Hill,Manhattan,NA,NA,NA,NA,NA,0
10018,2020-05-04,193,559,34.53,Chelsea - Clinton,Manhattan,NA,NA,NA,NA,NA,0
10019,2020-05-04,523,1530,34.18,Chelsea - Clinton,Manhattan,NA,NA,NA,NA,NA,3
10021,2020-05-04,494,1675,29.49,Upper East Side,Manhattan,NA,NA,NA,NA,NA,0
10022,2020-05-04,295,1050,28.1,Gramercy Park - Murray Hill,Manhattan,NA,NA,NA,NA,NA,2
10023,2020-05-04,496,1676,29.59,Upper West Side,Manhattan,NA,NA,NA,NA,NA,2
10024,2020-05-04,571,1833,31.15,Upper West Side,Manhattan,NA,NA,NA,NA,NA,8
10025,2020-05-04,1096,3116,35.17,Upper West Side,Manhattan,NA,NA,NA,NA,NA,14
10026,2020-05-04,561,1455,38.56,Central Harlem - Morningside Height,Manhattan,NA,NA,NA,NA,NA,6
10027,2020-05-04,847,2110,40.14,Central Harlem - Morningside Height,Manhattan,NA,NA,NA,NA,NA,11
10028,2020-05-04,427,1452,29.41,Upper East Side,Manhattan,NA,NA,NA,NA,NA,1
10029,2020-05-04,1548,3494,44.3,East Harlem,Manhattan,NA,NA,NA,NA,NA,24
10030,2020-05-04,426,1012,42.09,Central Harlem - Morningside Height,Manhattan,NA,NA,NA,NA,NA,3
10031,2020-05-04,1067,2200,48.5,Washington Heights - Inwood,Manhattan,NA,NA,NA,NA,NA,13
10032,2020-05-04,1234,2638,46.78,Washington Heights - Inwood,Manhattan,NA,NA,NA,NA,NA,15
10033,2020-05-04,1116,2344,47.61,Washington Heights - Inwood,Manhattan,NA,NA,NA,NA,NA,10
10034,2020-05-04,596,1366,43.63,Washington Heights - Inwood,Manhattan,NA,NA,NA,NA,NA,5
10035,2020-05-04,800,1757,45.53,East Harlem,Manhattan,NA,NA,NA,NA,NA,11
10036,2020-05-04,363,1045,34.74,Chelsea - Clinton,Manhattan,NA,NA,NA,NA,NA,2
10037,2020-05-04,369,892,41.37,Central Harlem - Morningside Height,Manhattan,NA,NA,NA,NA,NA,10
10038,2020-05-04,218,565,38.58,Lower Manhattan,Manhattan,NA,NA,NA,NA,NA,4
10039,2020-05-04,438,1069,40.97,Central Harlem - Morningside Height,Manhattan,NA,NA,NA,NA,NA,4
10040,2020-05-04,850,1772,47.97,Washington Heights - Inwood,Manhattan,NA,NA,NA,NA,NA,19
10044,2020-05-04,183,418,43.78,Upper East Side,Manhattan,NA,NA,NA,NA,NA,8
10065,2020-05-04,290,1085,26.73,Upper East Side,Manhattan,NA,NA,NA,NA,NA,3
10069,2020-05-04,46,165,27.88,Upper West Side,Manhattan,NA,NA,NA,NA,NA,0
