,,,,,Race and Ethnicity : Summarize
Topic: Health Behavior and Population
Subtopic: Social and Economic Conditions
Indicator Name: Race and Ethnicity
Indicator Description: 

Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,Percent Asian Alone,Percent Black Alone,Percent Hispanic Alone,Percent Non-White,Percent White Alone,Total Population,Notes Percent Asian Alone,Notes Percent Black Alone,Notes Percent Hispanic Alone,Notes Percent Non-White,Notes Percent White Alone,Notes Total Population,
2012-16,Neighborhood (Sub-borough/PUMA),Manhattan,borough/PUMA) - Morningside Heights/Hamilton Heights,35,Race and Ethnicity,8.3,21.5,37.9,71.4,28.6,"129,881",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Bronx,borough/PUMA) - Morrisania/East Tremont,2,Race and Ethnicity,0.8,30.1,63.5,95.5,4.5,"171,849",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Bronx,borough/PUMA) - Mott Haven/Hunts Point,1,Race and Ethnicity,0.8,28.2,68.2,98.4,1.6,"161,319",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - N. Crown Heights/Prospect Heights,18,Race and Ethnicity,3.7,59.3,12.2,78.7,21.3,"127,627",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Staten Island,borough/PUMA) - North Shore,53,Race and Ethnicity,7.5,22.1,29.4,62.0,38.0,"172,369",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Park Slope/Carroll Gardens,16,Race and Ethnicity,6.4,6.8,17.5,35.4,64.7,"116,344",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Bronx,borough/PUMA) - Pelham Parkway,9,Race and Ethnicity,7.6,21.5,47.0,78.2,21.8,"129,501",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Bronx,borough/PUMA) - Riverdale/Kingsbridge,6,Race and Ethnicity,5.2,12.4,47.8,67.6,32.4,"109,810",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Rockaways,52,Race and Ethnicity,3.9,35.4,23.5,65.0,35.0,"121,517",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Sheepshead Bay/Gravesend,25,Race and Ethnicity,15.9,3.8,9.1,30.9,69.2,"150,931",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Bronx,borough/PUMA) - Soundview/Parkchester,7,Race and Ethnicity,7.0,28.8,58.4,97.2,2.8,"189,556",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - South Crown Heights,19,Race and Ethnicity,1.8,66.3,9.6,80.2,19.8,"111,325",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Staten Island,borough/PUMA) - South Shore,55,Race and Ethnicity,4.7,0.9,9.7,16.4,83.6,"165,632",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Manhattan,borough/PUMA) - Stuyvesant Town/Turtle Bay,32,Race and Ethnicity,15.8,3.2,8.7,30.6,69.4,"146,750",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Sunnyside/Woodside,40,Race and Ethnicity,35.2,1.3,33.2,71.9,28.1,"139,088",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Sunset Park,17,Race and Ethnicity,32.4,2.6,41.2,77.7,22.3,"151,258",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Bronx,borough/PUMA) - Throgs Neck/Co-op City,8,Race and Ethnicity,3.0,28.5,37.1,70.7,29.3,"122,417",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Bronx,borough/PUMA) - University Heights/Fordham,4,Race and Ethnicity,1.5,27.4,68.8,98.7,1.3,"136,982",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Manhattan,borough/PUMA) - Upper East Side,34,Race and Ethnicity,9.3,2.8,9.0,24.0,76.0,"221,922",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Manhattan,borough/PUMA) - Upper West Side,33,Race and Ethnicity,9.2,6.0,14.4,32.3,67.7,"193,715",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Manhattan,borough/PUMA) - Washington Heights/Inwood,38,Race and Ethnicity,2.7,7.8,70.1,82.2,17.8,"218,698",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Bronx,borough/PUMA) - Williamsbridge/Baychester,10,Race and Ethnicity,2.6,65.5,22.6,93.1,6.9,"144,341",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Williamsburg/Greenpoint,11,Race and Ethnicity,7.3,4.2,23.3,37.0,63.0,"157,433",,,,,,,
2012-16,Neighborhood (Community District),Brooklyn, Bay Ridge and Dyker Heights (CD10),310,Race and Ethnicity,24.0,1.5,15.4,42.7,57.3,"125,011",,,,,,,
2012-16,Neighborhood (Community District),Queens, Bayside and Little Neck (CD11),411,Race and Ethnicity,42.7,1.8,11.8,58.7,41.3,"119,917",,,,,,,
2012-16,Neighborhood (Community District),Brooklyn, Bedford Stuyvesant (CD3),303,Race and Ethnicity,3.2,53.0,18.8,76.9,23.1,"142,689",,,,,,,
2012-16,Neighborhood (Community District),Bronx, Belmont and East Tremont (CD6),206,Race and Ethnicity,0.8,30.1,63.5,95.5,4.5,"171,849",,,,,,,
2012-16,Neighborhood (Community District),Brooklyn, Bensonhurst (CD11),311,Race and Ethnicity,39.1,0.9,14.4,55.8,44.2,"189,076",,,,,,,
2012-16,Neighborhood (Community District),Brooklyn, Borough Park (CD12),312,Race and Ethnicity,14.0,2.3,10.9,29.3,70.7,"164,842",,,,,,,
2012-16,Neighborhood (Community District),Brooklyn, Brownsville (CD16),316,Race and Ethnicity,1.5,74.2,21.1,97.9,2.1,"123,596",,,,,,,
2012-16,Neighborhood (Community District),Brooklyn, Bushwick (CD4),304,Race and Ethnicity,4.8,18.3,60.5,85.2,14.8,"135,837",,,,,,,
2012-16,Neighborhood (Community District),Manhattan, Central Harlem (CD10),110,Race and Ethnicity,3.2,57.1,23.6,87.0,13.1,"135,967",,,,,,,
2012-16,Neighborhood (Community District),Manhattan, Clinton and Chelsea (CD4),104,Race and Ethnicity,16.2,5.4,14.6,39.1,60.9,"149,309",,,,,,,
2012-16,Neighborhood (Community District),Brooklyn, Coney Island (CD13),313,Race and Ethnicity,14.5,10.6,15.0,42.5,57.5,"109,876",,,,,,,
2012-16,Neighborhood (Community District),Brooklyn, Crown Heights and Prospect Heights (CD8),308,Race and Ethnicity,3.7,59.3,12.2,78.7,21.3,"127,627",,,,,,,
2012-16,Neighborhood (Community District),Brooklyn, East Flatbush (CD17),317,Race and Ethnicity,1.4,87.3,7.4,97.8,2.2,"138,643",,,,,,,
2012-16,Neighborhood (Community District),Manhattan, East Harlem (CD11),111,Race and Ethnicity,7.5,29.8,45.2,84.8,15.2,"122,550",,,,,,,
2012-16,Neighborhood (Community District),Brooklyn, East New York and Starrett City (CD5),305,Race and Ethnicity,4.5,52.2,37.1,96.2,3.8,"155,735",,,,,,,
2012-16,Neighborhood (Community District),Queens, Elmhurst and Corona (CD4),404,Race and Ethnicity,33.2,7.9,50.7,93.7,6.3,"142,289",,,,,,,
2012-16,Neighborhood (Community District),Manhattan, Financial District (CD1),101,Race and Ethnicity,15.9,2.2,7.0,28.4,71.6,"155,488",,,,,,,
2012-16,Neighborhood (Community District),Brooklyn, Flatbush and Midwood (CD14),314,Race and Ethnicity,10.5,32.0,15.1,60.4,39.6,"162,030",,,,,,,
2012-16,Neighborhood (Community District),Brooklyn, Flatlands and Canarsie (CD18),318,Race and Ethnicity,4.3,63.0,8.0,77.0,23.0,"208,920",,,,,,,
2012-16,Neighborhood (Community District),Queens, Flushing and Whitestone (CD7),407,Race and Ethnicity,52.1,2.1,17.6,74.4,25.6,"250,162",,,,,,,
2012-16,Neighborhood (Community District),Bronx, Fordham and University Heights (CD5),205,Race and Ethnicity,1.5,27.4,68.8,98.7,1.3,"136,982",,,,,,,
2012-16,Neighborhood (Community District),Brooklyn, Fort Greene and Brooklyn Heights (CD2),302,Race and Ethnicity,9.2,26.1,15.8,55.3,44.7,"135,679",,,,,,,
2012-16,Neighborhood (Community District),Brooklyn, Greenpoint and Williamsburg (CD1),301,Race and Ethnicity,7.3,4.2,23.3,37.0,63.0,"157,433",,,,,,,
2012-16,Neighborhood (Community District),Manhattan, Greenwich Village and Soho (CD2),102,Race and Ethnicity,15.9,2.2,7.0,28.4,71.6,"155,488",,,,,,,
2012-16,Neighborhood (Community District),Bronx, Highbridge and Concourse (CD4),204,Race and Ethnicity,1.7,30.8,64.0,98.3,1.7,"141,055",,,,,,,
2012-16,Neighborhood (Community District),Queens, Hillcrest and Fresh Meadows (CD8),408,Race and Ethnicity,33.9,11.4,18.6,68.3,31.6,"162,548",,,,,,,
2012-16,Neighborhood (Community District),Bronx, Hunts Point and Longwood (CD2),202,Race and Ethnicity,0.8,28.2,68.2,98.4,1.6,"161,319",,,,,,,
2012-16,Neighborhood (Community District),Queens, Jackson Heights (CD3),403,Race and Ethnicity,16.9,4.8,66.7,90.0,10.0,"180,562",,,,,,,
2012-16,Neighborhood (Community District),Queens, Jamaica and Hollis (CD12),412,Race and Ethnicity,11.6,62.1,16.9,98.3,1.7,"239,699",,,,,,,
2012-16,Neighborhood (Community District),Queens, Kew Gardens and Woodhaven (CD9),409,Race and Ethnicity,26.3,5.8,41.8,82.1,17.9,"154,987",,,,,,,
2012-16,Neighborhood (Community District),Bronx, Kingsbridge Heights and Bedford (CD7),207,Race and Ethnicity,6.1,15.4,69.7,93.4,6.6,"129,955",,,,,,,
