,,,,,High School Graduation : Summarize,,,,,
Topic: Health Behavior and Population,,,,,,,,,,
Subtopic: Social and Economic Conditions,,,,,,,,,,
Indicator Name: High School Graduation,,,,,,,,,,
Indicator Description: ,,,,,,,,,,
,,,,,,,,,,
Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,Number,Percent,Notes Number,Notes Percent,
2013-17,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Sunset Park,17,High School Graduation,"60,941",59.8,,,
2013-17,Neighborhood (Sub-borough/PUMA),Bronx,borough/PUMA) - Throgs Neck/Co-op City,8,High School Graduation,"73,158",83.7,,,
2013-17,Neighborhood (Sub-borough/PUMA),Bronx,borough/PUMA) - University Heights/Fordham,4,High School Graduation,"54,483",65.7,,,
2013-17,Neighborhood (Sub-borough/PUMA),Manhattan,borough/PUMA) - Upper East Side,34,High School Graduation,"175,343",97.4,,,
2013-17,Neighborhood (Sub-borough/PUMA),Manhattan,borough/PUMA) - Upper West Side,33,High School Graduation,"148,100",94.3,,,
2013-17,Neighborhood (Sub-borough/PUMA),Manhattan,borough/PUMA) - Washington Heights/Inwood,38,High School Graduation,"113,359",70.7,,,
2013-17,Neighborhood (Sub-borough/PUMA),Bronx,borough/PUMA) - Williamsbridge/Baychester,10,High School Graduation,"78,224",80.0,,,
2013-17,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Williamsburg/Greenpoint,11,High School Graduation,"95,227",83.7,,,
2013-17,Neighborhood (Community District),Brooklyn,Bay Ridge and Dyker Heights (CD10),310,High School Graduation,"74,082",81.1,,,
2013-17,Neighborhood (Community District),Queens,Bayside and Little Neck (CD11),411,High School Graduation,"80,671",88.8,,,
2013-17,Neighborhood (Community District),Brooklyn,Bedford Stuyvesant (CD3),303,High School Graduation,"74,790",80.7,,,
2013-17,Neighborhood (Community District),Bronx,Belmont and East Tremont (CD6),206,High School Graduation,"65,281",64.2,,,
2013-17,Neighborhood (Community District),Brooklyn,Bensonhurst (CD11),311,High School Graduation,"101,318",73.7,,,
2013-17,Neighborhood (Community District),Brooklyn,Borough Park (CD12),312,High School Graduation,"69,081",76.9,,,
2013-17,Neighborhood (Community District),Brooklyn,Brownsville (CD16),316,High School Graduation,"57,762",74.7,,,
2013-17,Neighborhood (Community District),Brooklyn,Bushwick (CD4),304,High School Graduation,"61,859",69.3,,,
2013-17,Neighborhood (Community District),Manhattan,Central Harlem (CD10),110,High School Graduation,"78,574",81.6,,,
2013-17,Neighborhood (Community District),Manhattan,Clinton and Chelsea (CD4),104,High School Graduation,"118,021",94.3,,,
2013-17,Neighborhood (Community District),Brooklyn,Coney Island (CD13),313,High School Graduation,"68,009",81.8,,,
2013-17,Neighborhood (Community District),Brooklyn,Crown Heights and Prospect Heights (CD8),308,High School Graduation,"77,780",83.8,,,
2013-17,Neighborhood (Community District),Brooklyn,East Flatbush (CD17),317,High School Graduation,"81,377",85.7,,,
2013-17,Neighborhood (Community District),Manhattan,East Harlem (CD11),111,High School Graduation,"63,957",74.3,,,
2013-17,Neighborhood (Community District),Brooklyn,East New York and Starrett City (CD5),305,High School Graduation,"79,236",78.6,,,
2013-17,Neighborhood (Community District),Queens,Elmhurst and Corona (CD4),404,High School Graduation,"70,492",71.1,,,
