zipcode,day,neighborhood_name,borough_group,positive,covid_case_rate,covid_death_count,covid_death_rate,incidence_rate,newcases,pop_denominator
11213,2020-08-01,Crown Heights (East),Brooklyn,1525,2367.06,148,229.72,0,0,64426
11214,2020-08-01,Bath Beach/Bensonhurst/Gravesend,Brooklyn,1690,1810.71,182,195,6.4285943878371,6,93333
11215,2020-08-01,Gowanus/Park Slope/Windsor Terrace,Brooklyn,675,965.22,46,65.78,4.28988159926786,3,69932
11216,2020-08-01,Bedford-Stuyvesant (West)/Crown Heights (West),Brooklyn,831,1496.28,76,136.84,3.6011379595952318,2,55538
11217,2020-08-01,Boerum Hill/Park Slope,Brooklyn,677,1425.96,86,181.14,2.1062830423152263,1,47477
11218,2020-08-01,Kensington/Windsor Terrace,Brooklyn,1866,2461.53,137,180.72,0,0,75806
11219,2020-08-01,Borough Park,Brooklyn,3231,3479.5,235,253.07,5.384565680932176,5,92858
11220,2020-08-01,Sunset Park,Brooklyn,1811,1839.51,166,168.61,16.251904520060943,16,98450
11221,2020-08-01,Bedford-Stuyvesant (East)/Bushwick,Brooklyn,1483,1815.79,146,178.76,9.795278675678324,8,81672
11222,2020-08-01,Greenpoint,Brooklyn,517,1422.32,32,88.04,13.755536603482902,5,36349
11223,2020-08-01,Gravesend/Homecrest,Brooklyn,1851,2314.99,144,180.1,1.2506722363270257,1,79957
11224,2020-08-01,Brighton Beach/Coney Island/Seagate,Brooklyn,1319,2964.89,213,478.79,2.2478476858408074,1,44487
11225,2020-08-01,Crown Heights (West)/Prospect Lefferts Gardens,Brooklyn,1244,2155.55,140,242.59,5.198315745698394,3,57711
11226,2020-08-01,Flatbush/Prospect Lefferts Gardens,Brooklyn,2503,2526.72,302,304.86,7.066353055188217,7,99061
11228,2020-08-01,Bath Beach/Dyker Heights,Brooklyn,738,1669.11,82,185.46,9.046703607373063,4,44215
11229,2020-08-01,Gerritsen Beach/Homecrest/Sheepshead Bay,Brooklyn,1901,2238.86,151,177.84,4.710925814695733,4,84909
11230,2020-08-01,Midwood,Brooklyn,2534,2841.9,228,255.7,3.364511136531862,3,89166
11231,2020-08-01,Carroll Gardens/Cobble Hill/Red Hook,Brooklyn,458,1238.02,34,91.91,0,0,36995
11232,2020-08-01,Sunset Park,Brooklyn,603,2132.92,42,148.56,0,0,28271
11233,2020-08-01,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville,Brooklyn,1393,1930.82,136,188.51,2.7721564605106312,2,72146
11234,2020-08-01,Bergen Beach/Flatlands/Marine Park/Mill Basin,Brooklyn,2377,2494.1,195,204.61,2.098525785635591,2,95305
11235,2020-08-01,Brighton Beach/Manhattan Beach/Sheepshead Bay,Brooklyn,2204,2770.93,299,375.91,2.5144581342720644,2,79540
11236,2020-08-01,Canarsie,Brooklyn,2933,3028.49,298,307.7,7.227895546583786,7,96847
11237,2020-08-01,Bushwick/East Williamsburg,Brooklyn,1090,2150.08,114,224.87,0,0,50696
11238,2020-08-01,Clinton Hill/Prospect Heights,Brooklyn,867,1605.09,104,192.54,0,0,54016
11239,2020-08-01,East New York,Brooklyn,554,4462.93,89,716.97,0,0,12413
